version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
machine_list,16,4,16384,5369375,327.720642,48.822070,5648348105463635968
word_blocks,16,4,8192,42812167,5226.094604,3.061560,15618025053062729728
uint64_limbs,16,4,4096,42012750,10257.019043,1.559907,7653960963606595584
original_full_nat,16,4,8192,74367709,9078.089478,1.762485,15618025053062729728
original_full_nat,16,5,8192,73167042,8931.523682,1.791408,15618025053062729728
uint64_limbs,16,5,4096,41688417,10177.836182,1.572043,7653960963606595584
word_blocks,16,5,8192,42075917,5136.220337,3.115131,15618025053062729728
machine_list,16,5,16384,5640666,344.278931,46.473945,5648348105463635968
machine_array,16,5,16384,3599875,219.718933,72.820306,5648348105463635968
machine_array,16,6,16384,3625583,221.288025,72.303958,5648348105463635968
machine_list,16,6,16384,5697958,347.775757,46.006657,5648348105463635968
word_blocks,16,6,8192,42574500,5197.082520,3.078650,15618025053062729728
uint64_limbs,16,6,4096,42241958,10312.978027,1.551443,7653960963606595584
original_full_nat,16,6,8192,74620125,9108.901978,1.756523,15618025053062729728
original_full_nat,16,7,8192,74671000,9115.112305,1.755327,15618025053062729728
uint64_limbs,16,7,4096,42704958,10426.015137,1.534623,7653960963606595584
word_blocks,16,7,8192,42633500,5204.284668,3.074390,15618025053062729728
machine_list,16,7,16384,5420542,330.843628,48.361216,5648348105463635968
machine_array,16,7,16384,3425459,209.073425,76.528138,5648348105463635968
machine_array,16,8,16384,3422542,208.895386,76.593362,5648348105463635968
machine_list,16,8,16384,5426667,331.217468,48.306631,5648348105463635968
word_blocks,16,8,8192,42525959,5191.157104,3.082164,15618025053062729728
uint64_limbs,16,8,4096,42189209,10300.099854,1.553383,7653960963606595584
original_full_nat,16,8,8192,73038500,8915.832520,1.794560,15618025053062729728
original_full_nat,16,9,8192,74042375,9038.375854,1.770230,15618025053062729728
uint64_limbs,16,9,4096,42360083,10341.817139,1.547117,7653960963606595584
word_blocks,16,9,8192,42455750,5182.586670,3.087261,15618025053062729728
machine_list,16,9,16384,5825500,355.560303,44.999399,5648348105463635968
machine_array,16,9,16384,3719000,226.989746,70.487766,5648348105463635968
original_full_nat,17,1,4096,40050625,9777.984619,1.738600,15217244089719302144
uint64_limbs,17,1,4096,43593208,10642.873047,1.597313,15217244089719302144
word_blocks,17,1,8192,43929708,5362.513184,3.170155,6245824619593551872
machine_list,17,1,16384,6751417,412.073792,41.254747,1685163634126659584
machine_array,17,1,16384,4877709,297.711731,57.102217,1685163634126659584
machine_array,17,2,16384,4947250,301.956177,56.299560,1685163634126659584
machine_list,17,2,16384,6746542,411.776245,41.284557,1685163634126659584
word_blocks,17,2,8192,43606959,5323.115112,3.193619,6245824619593551872
uint64_limbs,17,2,4096,43135208,10531.056641,1.614273,15217244089719302144
original_full_nat,17,2,4096,39693417,9690.775635,1.754246,15217244089719302144
original_full_nat,17,3,4096,39666084,9684.102539,1.755454,15217244089719302144
uint64_limbs,17,3,4096,42943084,10484.151367,1.621495,15217244089719302144
word_blocks,17,3,8192,43503541,5310.490845,3.201211,6245824619593551872
machine_list,17,3,16384,6946000,423.950195,40.099050,1685163634126659584
